description,evaluate,info,name,rank,star
瑰丽壮观、无人能及的冒险之旅。,670632人评价,"导演: 李安 Ang Lee主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...
2012/美国 台湾 英国 加拿大/剧情 奇幻 冒险",少年派的奇幻漂流,30,9.0
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,632175人评价,"导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore主演: 金妮弗·...
2016/美国/喜剧 动画 冒险",疯狂动物城,31,9.1
张艺谋最好的电影。,326222人评价,"导演: 张艺谋 Yimou Zhang主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
1994/中国大陆 香港/剧情 历史 家庭",活着,32,9.1
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,448043人评价,"导演: 大卫·芬奇 David Fincher主演: 爱德华·诺顿 Edward Norton / 布拉...
1999/美国 德国/剧情 动作 悬疑 惊悚",搏击俱乐部,33,9.0
史诗的终章。,329714人评价,"导演: 彼得·杰克逊 Peter Jackson主演: 维果·莫腾森 Viggo Mortensen / ...
2003/美国 新西兰/剧情 动作 奇幻 冒险",指环王3：王者无敌,34,9.1
对天空的追逐，永不停止。 ,387190人评价,"导演: 宫崎骏 Hayao Miyazaki主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
1986/日本/动画 奇幻 冒险",天空之城,35,9.0
旷古烁今。,480492人评价,"导演: 刘镇伟 Jeffrey Lau主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
1995/香港 中国大陆/喜剧 爱情 奇幻 冒险",大话西游之月光宝盒,36,8.9
最后那些最无聊的事情，才是最值得怀念的。 ,583206人评价,"导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson主演: 爱德...
2009/美国/剧情 喜剧 动画 冒险",飞屋环游记,37,8.9
爱情哪怕只有一天。,446304人评价,"导演: 威廉·惠勒 William Wyler主演: 奥黛丽·赫本 Audrey Hepburn / 格...
1953/美国/喜剧 剧情 爱情",罗马假日,38,8.9
比利·怀德满分作品。,124506人评价,"导演: 比利·怀尔德 Billy Wilder主演: 查尔斯·劳顿 Charles Laughton / ...
1957/美国/剧情 犯罪 悬疑",控方证人,39,9.6
别样人生。,262407人评价,"导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck...
2006/德国/剧情 悬疑",窃听风暴,40,9.1
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,307997人评价,"导演: Guy Ritchie主演: Jason Flemyng / Dexter Fletcher / Nick Moran
1998/英国/剧情 喜剧 犯罪",两杆大烟枪,41,9.1
自由万岁。,312074人评价,"导演: 米洛斯·福尔曼 Miloš Forman主演: 杰克·尼科尔森 Jack Nichols...
1975/美国/剧情",飞越疯人院,42,9.0
史上最美的探戈。,377257人评价,"导演: 马丁·布莱斯 Martin Brest主演: 阿尔·帕西诺 Al Pacino / 克里斯...
1992/美国/剧情",闻香识女人,43,8.9
带着心爱的人在天空飞翔。,415007人评价,"导演: 宫崎骏 Hayao Miyazaki主演: 倍赏千惠子 Chieko Baishô / 木村拓...
2004/日本/动画 奇幻 冒险",哈尔的移动城堡,44,8.9
电影的现实意义大过电影本身。,255533人评价,"导演: 杨宇硕 Woo-seok Yang主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...
2013/韩国/剧情",辩护人,45,9.2
一张面具背后的理想与革命。,488721人评价,"导演: 詹姆斯·麦克特格 James McTeigue主演: 娜塔莉·波特曼 Natalie Por...
2005/美国 英国 德国/剧情 动作 科幻 惊悚",V字仇杀队,46,8.8
海豚的微笑，是世界上最高明的伪装。,203942人评价,"导演: Louie Psihoyos主演: John Chisholm / Mandy-Rae Cruikshank / Char...
2009/美国/纪录片",海豚湾,47,9.3
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,324753人评价,"导演: 彼得·威尔 Peter Weir主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
1989/美国/剧情",死亡诗社,48,9.0
优雅的孤独。,218576人评价,"导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola主演: 阿尔·帕西诺 A...
1974/美国/剧情 犯罪",教父2,49,9.1
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,562856人评价,"导演: 涅提·蒂瓦里 Nitesh Tiwari主演: 阿米尔·汗 Aamir Khan / 法缇玛...
2016/印度/剧情 传记 运动 家庭",摔跤吧！爸爸,50,9.1
承前启后的史诗篇章。,309672人评价,"导演: 彼得·杰克逊 Peter Jackson主演: 伊利亚·伍德 Elijah Wood / 西恩...
2002/美国 新西兰/剧情 动作 奇幻 冒险",指环王2：双塔奇兵,51,9.0
爱是一切逻辑和原由。,348726人评价,"导演: 朗·霍华德 Ron Howard主演: 罗素·克劳 Russell Crowe / 艾德·哈...
2001/美国/传记 剧情",美丽心灵,52,8.9
传说的开始。,346718人评价,"导演: 彼得·杰克逊 Peter Jackson主演: 伊利亚·伍德 Elijah Wood / 西恩...
2001/新西兰 美国/剧情 动作 奇幻 冒险",指环王1：魔戒再现,53,8.9
人生不能像做菜，把所有的料都准备好了才下锅。,237095人评价,"导演: 李安 Ang Lee主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
1994/台湾 美国/剧情 家庭",饮食男女,54,9.1
暗恋的极致。,428442人评价,"导演: 岩井俊二 Shunji Iwai主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
1995/日本/剧情 爱情",情书,55,8.8
往事如烟，无处祭奠。,199765人评价,"导演: 赛尔乔·莱翁内 Sergio Leone主演: 罗伯特·德尼罗 Robert De Niro ...
1984/意大利 美国/犯罪 剧情",美国往事,56,9.1
动物版《哈姆雷特》。,324565人评价,"导演: Roger Allers / 罗伯·明可夫 Rob Minkoff主演: 乔纳森·泰勒·托马...
1994/美国/剧情 动画 冒险 歌舞 家庭",狮子王,57,8.9
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,219706人评价,"导演: 李濬益 Jun-ik Lee主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
2013/韩国/剧情",素媛,58,9.1
音乐能化解仇恨。,229642人评价,"导演: 罗曼·波兰斯基 Roman Polanski主演: 艾德里安·布洛迪 Adrien Brod...
2002/法国 德国 英国 波兰/剧情 传记 历史 战争 音乐",钢琴家,59,9.0
奔跑的孩子是天使。,162874人评价,"导演: 马基德·马基迪 Majid Majidi主演: Amir Farrokh Hashemian / 默罕...
1997/伊朗/剧情 家庭 儿童",小鞋子,60,9.2
警察抓小偷，老鼠玩死猫。,485830人评价,"导演: 大卫·芬奇 David Fincher主演: 摩根·弗里曼 Morgan Freeman / 布...
1995/美国/剧情 犯罪 悬疑 惊悚",七宗罪,61,8.7
以戏谑来戏谑戏谑。,339324人评价,"导演: 中岛哲也 Tetsuya Nakashima主演: 中谷美纪 Miki Nakatani / 瑛太 E...
2006/日本/剧情 歌舞",被嫌弃的松子的一生,62,8.9
法式小清新。 ,539502人评价,"导演: 让-皮埃尔·热内 Jean-Pierre Jeunet主演: 奥黛丽·塔图 Audrey Tau...
2001/法国 德国/喜剧 爱情",天使爱美丽,63,8.7
孪生蝙蝠侠大战克隆金刚狼。,392540人评价,"导演: 克里斯托弗·诺兰 Christopher Nolan主演: 休·杰克曼 Hugh Jackman...
2006/美国 英国/剧情 悬疑 惊悚",致命魔术,64,8.8
在时间之河里感受溺水之苦。,445305人评价,"导演: 大卫·芬奇 David Fincher主演: 凯特·布兰切特 Cate Blanchett / ...
2008/美国/剧情 爱情 奇幻",本杰明·巴顿奇事,65,8.8
用音乐化解仇恨，让歌声串起美好。,262077人评价,"导演: Robert Wise主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...
1965/美国/剧情 传记 爱情 歌舞",音乐之声,66,8.9
