description,evaluate,info,name,rank,star
Mr. I Don't Care其实也有Care的时候。,427263人评价,"导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud主演: ...
2010/美国 法国/喜剧 动画 冒险",神偷奶爸,121,8.5
时代悲歌。,86431人评价,"导演: 黑泽明 Akira Kurosawa主演: 三船敏郎 Toshirô Mifune / 志村乔 ...
1954/日本/动作 冒险 剧情",七武士,122,9.2
岁月流逝，来日可追。,333843人评价,"导演: 罗启锐 Alex Law主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...
2010/香港 中国大陆/剧情 家庭",岁月神偷,123,8.6
关于连环杀人悬案的集体回忆。,231931人评价,"导演: 奉俊昊 Joon-ho Bong主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...
2003/韩国/犯罪 剧情 悬疑 惊悚",杀人回忆,124,8.7
真相就在眼前。,218368人评价,"导演: 詹姆斯·温 James Wan主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...
2004/美国/悬疑 惊悚 恐怖",电锯惊魂,125,8.7
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,427210人评价,"导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan主演: 戴夫...
2008/英国 美国/剧情 爱情",贫民窟的百万富翁,126,8.5
中国家庭的喜怒哀乐忍。,156247人评价,"导演: 李安 Ang Lee主演: 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...
1993/台湾 美国/剧情 喜剧 爱情 同性 家庭",喜宴,127,8.8
像吃了苏打饼一样干脆的电影。,198849人评价,"导演: 保罗·格林格拉斯 Paul Greengrass主演: 马特·达蒙 Matt Damon / ...
2007/美国 德国/动作 悬疑 惊悚",谍影重重3,128,8.7
爱，是个动词。,342990人评价,"导演: 理查德·柯蒂斯 Richard Curtis主演: 休·格兰特 Hugh Grant / 柯林...
2003/英国 美国 法国/喜剧 剧情 爱情",真爱至上,129,8.5
不要给它起名字，起了名字就有感情了。,271650人评价,"导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman主演: 约...
2001/美国/儿童 喜剧 动画 奇幻 冒险",怪兽电力公司,130,8.6
电影诗。,279576人评价,"导演: 王家卫 Kar Wai Wong主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...
1994/香港 台湾/剧情 动作 爱情 武侠 古装",东邪西毒,131,8.6
大海啊，不全是水。,104784人评价,"导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud主演:...
2009/法国 瑞士 西班牙 美国 阿联酋/纪录片",海洋,132,9.0
一个针管引发的血案。,306773人评价,"导演: 克里斯托弗·诺兰 Christopher Nolan主演: 盖·皮尔斯 Guy Pearce /...
2000/美国/犯罪 剧情 悬疑 惊悚",记忆碎片,133,8.5
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,226440人评价,"导演: 巴瑞·莱文森 Barry Levinson主演: 达斯汀·霍夫曼 Dustin Hoffman ...
1988/美国/剧情",雨人,134,8.6
黑暗之美。,456638人评价,"导演: 达伦·阿罗诺夫斯基 Darren Aronofsky主演: 娜塔莉·波特曼 Natalie...
2010/美国/剧情 惊悚",黑天鹅,135,8.5
老少皆宜，这就是好莱坞动画的魅力。,407053人评价,"导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders主演...
2013/美国/喜剧 动画 冒险",疯狂原始人,136,8.7
当这个世界闭上双眼，他却敞开了怀抱。,133240人评价,"导演: 特瑞·乔治 Terry George主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...
2004/英国 南非 意大利 美国/剧情 历史 战争",卢旺达饭店,137,8.9
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,135634人评价,"导演: 森淳一 Junichi Mori主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...
2015/日本/剧情",小森林 冬春篇,138,8.9
传奇，不是每个人都可以拥有。,158873人评价,"导演: 爱德华·兹威克 Edward Zwick主演: 安东尼·霍普金斯 Anthony Hopki...
1994/美国/剧情 爱情 西部 家庭",燃情岁月,139,8.7
《我是山姆》的《美丽人生》。,200027人评价,"导演: 李焕庆 Hwan-kyeong Lee主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...
2013/韩国/剧情 喜剧 家庭",7号房的礼物,140,8.7
英雄泪短，兄弟情长。 ,191612人评价,"导演: 吴宇森 John Woo主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...
1986/香港/动作 犯罪",英雄本色,141,8.6
永远看不腻的喜剧。,116007人评价,"导演: 杰拉尔·乌里 Gérard Oury主演: 路易·德·菲耐斯 Louis de Funès...
1966/法国 英国/喜剧 战争",虎口脱险,142,8.9
10年的完美句点。,304044人评价,"导演: 大卫·叶茨 David Yates主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...
2011/美国 英国/剧情 悬疑 奇幻 冒险",哈利·波特与死亡圣器(下),143,8.7
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,203457人评价,"导演: 忻钰坤 Yukun Xin主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...
2014/中国大陆/剧情 犯罪 悬疑",心迷宫,144,8.6
触不到的恋人。,179826人评价,"导演: 大森贵弘 Takahiro Omori主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...
2011/日本/剧情 爱情 动画 奇幻",萤火之森,145,8.8
爱是摈弃傲慢与偏见之后的曙光。,335728人评价,"导演: 乔·怀特 Joe Wright主演: 凯拉·奈特莉 Keira Knightley / 马修·...
2005/法国 英国 美国/剧情 爱情",傲慢与偏见,146,8.5
始于荒诞，止于更荒诞。,162688人评价,"导演: 达米安·斯兹弗隆 Damián Szifron主演: 达里奥·葛兰帝内提 Darío...
2014/阿根廷 西班牙/剧情 喜剧 犯罪",荒蛮故事,147,8.8
我们都有权利不与自己的过去和解。,223655人评价,"导演: 肯尼斯·罗纳根 Kenneth Lonergan主演: 卡西·阿弗莱克 Casey Affle...
2016/美国/剧情 家庭",海边的曼彻斯特,148,8.6
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,313241人评价,"导演: 尼克·卡索维茨 Nick Cassavetes主演: 瑞恩·高斯林 Ryan Gosling /...
2004/美国/剧情 爱情",恋恋笔记本,149,8.5
坏人的好总是比好人的好来得更感人。,91141人评价,"导演: 克林特·伊斯特伍德 Clint Eastwood主演: 凯文·科斯特纳 Kevin Cos...
1993/美国/剧情 犯罪",完美的世界,150,9.0
沉醉在电影的情感和视听氛围中无法自拔。,203099人评价,"导演: 卢卡·圭达尼诺 Luca Guadagnino主演: 蒂莫西·柴勒梅德 Timothée ...
2017/意大利 法国 巴西 美国/剧情 爱情 同性",请以你的名字呼唤我,151,8.8
任何信念的力量，都无法改变命运。,145914人评价,"导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola主演: 阿尔·帕西诺 A...
1990/美国/剧情 犯罪",教父3,152,8.8
香港浪漫主义警匪动作片的巅峰之作。,165400人评价,"导演: 吴宇森 John Woo主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...
1991/香港/剧情 喜剧 动作 犯罪",纵横四海,153,8.7
偷情本没有这样美。,272047人评价,"导演: 王家卫 Kar Wai Wong主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...
2000/香港/剧情 爱情",花样年华,154,8.5
Balalala~~~,414487人评价,"导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams主演: 斯科特...
2014/美国/喜剧 动作 科幻 动画 冒险",超能陆战队,155,8.6
华太师是黄霑，吴镇宇四大才子之一。,376192人评价,"导演: 李力持 Lik-Chi Lee主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...
1993/香港/喜剧 爱情 古装",唐伯虎点秋香,156,8.4
跨度十五年的欢乐与泪水。,209893人评价,"导演: 李·昂克里奇 Lee Unkrich主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...
2010/美国/喜剧 动画 奇幻 冒险",玩具总动员3,157,8.8
诺兰就是保证。,323747人评价,"导演: 克里斯托弗·诺兰 Christopher Nolan主演: 克里斯蒂安·贝尔 Christ...
2012/美国 英国/剧情 动作 科幻 犯罪 惊悚",蝙蝠侠：黑暗骑士崛起,158,8.6
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,227357人评价,"导演: 理查德·柯蒂斯 Richard Curtis主演: 多姆纳尔·格利森 Domhnall Gl...
2013/英国/剧情 爱情 奇幻",时空恋旅人,159,8.6
中国式内在的美国电影。,139934人评价,"导演: Mervyn LeRoy主演: Vivien Leigh / Robert Taylor / Lucile Watson
1940/美国/剧情 战争 爱情",魂断蓝桥,160,8.8
不可猜的青春迷笛。 ,266959人评价,"导演: 丹尼·博伊尔 Danny Boyle主演: 伊万·麦克格雷格 Ewan McGregor / ...
1996/英国/犯罪 剧情",猜火车,161,8.5
爱上未来的你。 ,201668人评价,"导演: 细田守 Mamoru Hosoda主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya...
2006/日本/剧情 爱情 科幻 动画",穿越时空的少女,162,8.6
骨灰级歌舞片。,100862人评价,"导演: Stanley Donen / Gene Kelly主演: Gene Kelly / Donald O'Connor / ...
1952/美国/喜剧 歌舞 爱情",雨中曲,163,9.0
有一些东西不应该被遗忘。,117136人评价,"导演: 郭柯 Ke Guo主演:
2015/中国大陆/纪录片",二十二,164,8.7
Jared Leto的腿比女人还美！,202665人评价,"导演: 让-马克·瓦雷 Jean-Marc Vallée主演: 马修·麦康纳 Matthew McCon...
2013/美国/剧情 传记 同性",达拉斯买家俱乐部,165,8.7
爱并不需要智商 。,115889人评价,"导演: 杰茜·尼尔森 Jessie Nelson主演: Sean Penn / Dakota Fanning / Mi...
2001/美国/剧情 家庭",我是山姆,166,8.8
对爱的执着，可以超越一切。,208301人评价,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 海利·乔·奥斯蒙 Haley...
2001/美国/冒险 剧情 科幻",人工智能,167,8.6
松鼠才是角儿。,298506人评价,"导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge主演...
2002/美国/喜剧 动画 冒险",冰川时代,168,8.5
世界离独裁只有五天。,144759人评价,"导演: 丹尼斯·甘塞尔 Dennis Gansel主演: 尤尔根·沃格尔 Jürgen Vogel ...
2008/德国/剧情 惊悚",浪潮,169,8.7
一个单凭体香达到高潮的男人。,300551人评价,"导演: 汤姆·提克威 Tom Tykwer主演: 本·卫肖 Ben Whishaw / 艾伦·瑞克...
2006/德国 法国 西班牙 美国/剧情 犯罪 奇幻",香水,170,8.4
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,262059人评价,"导演: 达米安·沙泽勒 Damien Chazelle主演: 迈尔斯·特勒 Miles Teller /...
2014/美国/剧情 音乐",爆裂鼓手,171,8.6
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,296189人评价,"导演: 史蒂芬·戴德利 Stephen Daldry主演: 凯特·温丝莱特 Kate Winslet ...
2008/美国 德国/剧情 爱情",朗读者,172,8.5
人生的N种可能性。,138687人评价,"导演: 黑泽明 Akira Kurosawa主演: 三船敏郎 Toshirô Mifune / 千秋实 ...
1950/日本/犯罪 剧情 悬疑",罗生门,173,8.7
好的剧本是，就算你猜到了结局也猜不到全部。,110481人评价,"导演: 今敏 Satoshi Kon主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...
1997/日本/动画 奇幻 惊悚",未麻的部屋,174,8.8
王家卫是一种风格，张国荣是一个代表。,228486人评价,"导演: 王家卫 Kar Wai Wong主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...
1990/香港/犯罪 剧情 爱情",阿飞正传,175,8.5
只有有信仰的人才能说出事实真相。,143271人评价,"导演: 阿斯哈·法哈蒂  Asghar Farhadi主演: 佩曼·莫阿迪 Peyman Moadi /...
2011/伊朗 法国/剧情 家庭",一次别离,176,8.7
诺兰的牛逼来源于内心散发出的恐惧。,89175人评价,"导演: 克里斯托弗·诺兰 Christopher Nolan主演: 杰里米·西奥伯德 Jeremy...
1998/英国/犯罪 悬疑 惊悚",追随,177,8.9
坚硬的信仰。,140684人评价,"导演: 陆川 Chuan Lu主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...
2004/中国大陆 香港/剧情 犯罪",可可西里,178,8.7
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,355439人评价,"导演: 梅尔·吉布森 Mel Gibson主演: 安德鲁·加菲尔德 Andrew Garfield /...
2016/美国 澳大利亚/剧情 传记 历史 战争",血战钢锯岭,179,8.7
热血沸腾，那个低俗、性感的无耻混蛋又来了。,282131人评价,"导演: 昆汀·塔伦蒂诺 Quentin Tarantino主演: 杰米·福克斯 Jamie Foxx /...
2012/美国/剧情 动作 西部 冒险",被解救的姜戈,180,8.6
不要企图在重复中寻找已经失去的爱。,360354人评价,"导演: 克里斯托弗·史密斯 Christopher Smith主演: 梅利莎·乔治 Melissa ...
2009/英国 澳大利亚/剧情 悬疑 惊悚",恐怖游轮,181,8.4
天使与魔鬼的冲撞。,186716人评价,"导演: 保罗·哈吉斯 Paul Haggis主演: 桑德拉·布洛克 Sandra Bullock / ...
2004/美国 德国/犯罪 剧情",撞车,182,8.6
做一颗让别人需要你的棋子。,187959人评价,"导演: 安德鲁·尼科尔 Andrew Niccol主演: 尼古拉斯·凯奇 Nicolas Cage /...
2005/美国 法国/剧情 犯罪",战争之王,183,8.6
愿我们都不用长大，每一座城堡都能永远存在。,253875人评价,"导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen&nb...
2015/美国/喜剧 动画 冒险",头脑特工队,184,8.7
天使保护事件始末。,93954人评价,"导演: 阿米尔·汗 Aamir Khan主演: 达席尔·萨法瑞 Darsheel Safary / 阿...
2007/印度/剧情 儿童 家庭",地球上的星星,185,8.8
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,175046人评价,"导演: 伦尼·阿伯拉罕森 Lenny Abrahamson主演: 布丽·拉尔森 Brie Larson...
2015/爱尔兰 加拿大 英国 美国/剧情 家庭",房间,186,8.8
一场没有春天的噩梦。,120975人评价,"导演: 达伦·阿伦诺夫斯基 Darren Aronofsky主演: 艾伦·伯斯汀 Ellen Bur...
2000/美国/剧情",梦之安魂曲,187,8.7
弱者送给弱者的一刀。,117484人评价,"导演: 杨德昌 Edward Yang主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张...
1991/台湾/剧情 犯罪",牯岭街少年杀人事件,188,8.8
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,214187人评价,"导演: 宫崎骏 Hayao Miyazaki主演: 高山南 Minami Takayama / 佐久间玲 Re...
1989/日本/动画 奇幻 冒险",魔女宅急便,189,8.5
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,208378人评价,"导演: 道格·里曼 Doug Liman主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...
2002/美国 德国 捷克/动作 悬疑 惊悚",谍影重重,190,8.5
谁说王家卫镜头很晃？,173074人评价,"导演: 保罗·格林格拉斯 Paul Greengrass主演: 马特·达蒙 Matt Damon / ...
2004/美国 德国/动作 悬疑 惊悚",谍影重重2,191,8.6
养狗三日，便会对你终其一生。,67659人评价,"导演: Seijirô Kôyama主演: 山本圭 Kei Yamamoto / 井川比佐志 Hisa...
1987/日本/剧情",忠犬八公物语,192,9.0
我的平常生活就是他人的幸福。,71671人评价,"导演: 是枝裕和 Hirokazu Koreeda主演: 柳乐优弥 Yûya Yagira / 北浦爱...
2004/日本/剧情",无人知晓,193,9.0
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,280836人评价,"导演: 莫腾·泰杜姆 Morten Tyldum主演: 本尼迪克特·康伯巴奇 Benedict C...
2014/英国 美国/剧情 传记 战争 同性",模仿游戏,194,8.6
故事的反转与反转，分裂电影的始祖。,92119人评价,"导演: Alfred Hitchcock主演: Janet Leigh / Anthony Perkins / Vera Miles
1960/美国/悬疑 惊悚 恐怖",惊魂记,195,8.9
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,533127人评价,"导演: 新海诚 Makoto Shinkai主演: 神木隆之介 Ryûnosuke Kamiki / 上...
2016/日本/剧情 爱情 动画",你的名字。,196,8.4
爱我就给我看你的播放列表。,189282人评价,"导演: 约翰·卡尼 John Carney主演: 凯拉·奈特莉 Keira Knightley / 马克...
2013/美国/喜剧 爱情 音乐",再次出发之纽约遇见你,197,8.5
惠及一生的美丽。,137247人评价,"导演: 汉内斯·赫尔姆 Hannes Holm主演: 罗夫·拉斯加德 Rolf Lassgård...
2015/瑞典/剧情",一个叫欧维的男人决定去死,198,8.7
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,242444人评价,"导演: 徐克 Hark Tsui主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...
1993/香港/剧情 奇幻 古装",青蛇,199,8.4
想你时你在闹海。,89432人评价,"导演: 严定宪 Dingxian Yan / 王树忱 Shuchen Wang主演: 梁正晖 Zhenghui ...
1979/中国大陆/冒险 动画 奇幻",哪吒闹海,200,8.9
,225626人评价,"导演: 保罗·格诺维瑟 Paolo Genovese主演: 马可·贾利尼 Marco Giallini ...
2016/意大利/剧情 喜剧",完美陌生人,201,8.6
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,56390人评价,"导演: 小津安二郎 Yasujirô Ozu主演: 笠智众 Chishû Ryû / 原节...
1953/日本/剧情 家庭",东京物语,202,9.2
,181494人评价,"导演: 卡比尔·汗 Kabir Khan主演: 萨尔曼·汗 Salman Khan / 哈莎莉·马...
2015/印度/剧情 喜剧 动作",小萝莉的猴神大叔,203,8.5
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,170828人评价,"导演: Andy Wachowski / Larry Wachowski主演: Keanu Reeves / Laurence F...
2003/美国 澳大利亚/动作 科幻",黑客帝国3：矩阵革命,204,8.5
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,439082人评价,"导演: 邓肯·琼斯 Duncan Jones主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ...
2011/美国 加拿大/科幻 悬疑 惊悚",源代码,205,8.3
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,112593人评价,"导演: Luc Besson主演: 让-马克·巴尔 Jean-Marc Barr / 让·雷诺 Jean Re...
1988/法国 美国 意大利/剧情 爱情",碧海蓝天,206,8.7
没有了退路，只好飞向自由。,114030人评价,"导演: 雷德利·斯科特 Ridley Scott主演: 吉娜·戴维斯 Geena Davis / 苏...
1991/美国 法国/犯罪 剧情 惊悚",末路狂花,207,8.7
少见的超越首部的续集，动作片中的经典。,152805人评价,"导演: 詹姆斯·卡梅隆 James Cameron主演: 阿诺·施瓦辛格 Arnold Schwarz...
1991/美国 法国/动作 科幻",终结者2：审判日,208,8.6
青春就是放弃和怀念。,326766人评价,"导演: 新海诚 Makoto Shinkai主演: 水桥研二 Kenji Mizuhashi / 近藤好美 ...
2007/日本/动画 剧情 爱情",秒速5厘米,209,8.3
嬉笑怒骂，调风动月。,201622人评价,"导演: 李惠民 Raymond Lee主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...
1992/香港 中国大陆/剧情 动作 武侠 古装",新龙门客栈,210,8.5
天使暂时离开。,115642人评价,"导演: Frank Darabont主演: 汤姆·汉克斯 Tom Hanks / 大卫·摩斯 David M...
1999/美国/犯罪 剧情 奇幻 悬疑",绿里奇迹,211,8.7
类型片的极致。 ,151864人评价,"导演: 迈克尔·贝 Michael Bay主演: 肖恩·康纳利 Sean Connery / 尼古拉...
1996/美国/动作 冒险",勇闯夺命岛,212,8.6
科幻真正的魅力不是视觉效果能取代的。 ,198266人评价,"导演: 理查德·沙因克曼 Richard Schenkman主演: 大卫·李·史密斯 David ...
2007/美国/剧情 科幻",这个男人来自地球,213,8.5
生命不止，摇滚不死。,173966人评价,"导演: 理查德·柯蒂斯 Richard Curtis主演: 比尔·奈伊 Bill Nighy / 肯尼...
2009/英国 德国 法国/剧情 喜剧 音乐",海盗电台,214,8.6
永远的小人物，伟大的卓别林。,48974人评价,"导演: Charles Chaplin主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·...
1931/美国/喜剧 剧情 爱情",城市之光,215,9.2
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,133920人评价,"导演: Michael Curtiz主演: 亨弗莱·鲍嘉 Humphrey Bogart / 英格丽·褒曼...
1942/美国/剧情 爱情 战争",卡萨布兰卡,216,8.6
昆汀同学越来越变态了，比北野武还杜琪峰。,240156人评价,"导演: Quentin Tarantino主演: 布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...
2009/美国 德国/剧情 犯罪",无耻混蛋,217,8.4
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,229141人评价,"导演: 吴宇森 John Woo主演: 约翰·特拉沃尔塔 John Travolta / 尼古拉斯...
1997/美国/动作 科幻 犯罪 惊悚",变脸,218,8.4
黑小鸭速效美白记。,499299人评价,"导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...
2010/泰国/剧情 喜剧 爱情",初恋这件小事,219,8.3
生病的E.T.皮肤的颜色就像柿子饼。,166305人评价,"导演: Steven Spielberg主演: Henry Thomas / Dee Wallace / Robert MacNa...
1982/美国/剧情 科幻",E.T. 外星人,220,8.5
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,127748人评价,"导演: 理查德·林克莱特 Richard Linklater主演: 伊桑·霍克 Ethan Hawke ...
2013/美国/剧情 爱情",爱在午夜降临前,221,8.8
最棒的西部片。,56151人评价,"导演: Sergio Leone主演: Clint Eastwood / Eli Wallach / Lee Van Cleef
1966/意大利 西班牙 西德/冒险 西部",黄金三镖客,222,9.1
我完全康复了。,198786人评价,"导演: Stanley Kubrick主演: Malcolm McDowell / Patrick Magee / Michael...
1971/英国 美国/犯罪 剧情 科幻",发条橙,223,8.4
迪士尼和皮克斯拿错剧本的产物。,200734人评价,"导演: 瑞奇·莫尔 Rich Moore主演: 约翰·C·赖利 John C. Reilly / 萨拉...
2012/美国/喜剧 动画 奇幻 冒险",无敌破坏王,224,8.6
每个人的内心都是深不可测的大海。 ,198456人评价,"导演: 萨姆·门德斯 Sam Mendes主演: 凯文·史派西 Kevin Spacey / 安妮特...
1999/美国/剧情 爱情 家庭",美国丽人,225,8.5
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,88716人评价,"导演: 是枝裕和 Hirokazu Koreeda主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu...
2008/日本/剧情 家庭",步履不停,226,8.8
中国版《两杆大烟枪》。,345767人评价,"导演: 宁浩 Hao Ning主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin
2006/中国大陆 香港/喜剧 犯罪",疯狂的石头,227,8.3
出门必备：本草纲目。,136248人评价,"导演: 西恩·潘 Sean Penn主演: 埃米尔·赫斯基 Emile Hirsch / 马西娅·...
2007/美国/冒险 传记 剧情",荒野生存,228,8.6
最美的飞翔。,54376人评价,"导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud主演:...
2001/法国 德国 意大利 西班牙 瑞士/纪录片",迁徙的鸟,229,9.1
"In memory, love lives forever...",183884人评价,"导演: 安东尼·明格拉 Anthony Minghella主演: 拉尔夫·费因斯 Ralph Fien...
1996/美国 英国/爱情 剧情 战争",英国病人,230,8.4
小成本大魅力。,200631人评价,"导演: 詹姆斯·沃德·布柯特 James Ward Byrkit主演: 艾米丽·芭尔多尼 Em...
2013/美国 英国/科幻 悬疑 惊悚",彗星来的那一夜,231,8.4
我不信仰上帝，但我敬畏上帝。,125322人评价,"导演: 布莱恩·辛格 Bryan Singer主演: 史蒂芬·鲍德温 Stephen Baldwin /...
1995/德国 美国/剧情 犯罪 悬疑 惊悚",非常嫌疑犯,232,8.6
,145096人评价,"导演: 是枝裕和 Hirokazu Koreeda主演: 绫濑遥 Haruka Ayase / 长泽雅美 M...
2015/日本/剧情 家庭",海街日记,233,8.6
现实与童话交相辉映的旅程。,112701人评价,"导演: 岩井俊二 Shunji Iwai主演: 恰拉 Chara / 伊藤步 Ayumi Ito / 三上...
1996/日本/犯罪 剧情",燕尾蝶,234,8.6
每个美丽事物背后都是滴血的现实。,144730人评价,"导演: 爱德华·兹威克 Edward Zwick主演: 莱昂纳多·迪卡普里奥 Leonardo ...
2006/美国 德国/剧情 惊悚 冒险",血钻,235,8.5
皇上无话儿。,364573人评价,"导演: 汤姆·霍珀 Tom Hooper主演: 柯林·菲尔斯 Colin Firth / 杰弗里·...
2010/英国 澳大利亚 美国/剧情 传记 历史",国王的演讲,236,8.3
热血沸腾，相当完美的娱乐拳击大餐。,92953人评价,"导演: 加文·欧康诺 Gavin O'Connor主演: 汤姆·哈迪 Tom Hardy / 乔尔·...
2011/美国/剧情 运动 家庭",勇士,237,8.9
,139358人评价,"导演: 托马斯·麦卡锡 Thomas McCarthy主演: 马克·鲁弗洛 Mark Ruffalo /...
2015/美国/剧情 传记",聚焦,238,8.8
乐观比一切都有力量。,115856人评价,"导演: 彼得·维纳 Peter Werner主演: 詹姆斯·沃克 James Wolk / 特里特·...
2008/美国/剧情 传记",叫我第一名,239,8.6
大卫·林奇的梦境迷宫。,250914人评价,"导演: 大卫·林奇 David Lynch主演: 娜奥米·沃茨 Naomi Watts / 劳拉·哈...
2001/法国 美国/剧情 悬疑 惊悚",穆赫兰道,240,8.3
用剩余不多的时间，去燃烧整个生命。,141693人评价,"导演: 罗伯·莱纳 Rob Reiner主演: 杰克·尼科尔森 Jack Nicholson / 摩根...
2007/美国/冒险 喜剧 剧情",遗愿清单,241,8.5
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,107552人评价,"导演: 杜琪峰 Johnnie To主演: 吴镇宇 Francis Ng / 任达华 Simon Yam / ...
1999/香港/剧情 动作 犯罪",枪火,242,8.6
你要相信，这世上真的有爱存在，不管在什么年纪 ,63273人评价,"导演: 秋昌民 Chang-min Choo主演: 宋在河 Jae-ho Song / 李顺载 Soon-jae...
2011/韩国/剧情 爱情",我爱你,243,9.0
纯净原始的笑与感动。,102142人评价,"导演: Jamie Uys主演: Marius Weyers / Sandra Prinsloo / N!xau
1980/博茨瓦纳 南非/喜剧",上帝也疯狂,244,8.6
一个人的独角戏。,145626人评价,"导演: 罗伯特·泽米吉斯 Robert Zemeckis主演: 汤姆·汉克斯 Tom Hanks / ...
2000/美国/冒险 剧情",荒岛余生,245,8.5
还原真实而残酷的战争。,126347人评价,"导演: 雷德利·斯科特 Ridley Scott主演: 乔什·哈奈特 Josh Hartnett / ...
2001/美国/动作 历史 战争",黑鹰坠落,246,8.6
捍卫人权只是信仰，一点不妨碍其行为的残忍。,102578人评价,"导演: Alan Parker主演: 凯文·史派西 Kevin Spacey / 凯特·温丝莱特 Kat...
2003/美国 德国 英国/剧情 犯罪 悬疑",大卫·戈尔的一生,247,8.6
一部能引人思考的科幻励志片。,94007人评价,"导演: 安德鲁·尼科尔 Andrew Niccol主演: 伊桑·霍克 Ethan Hawke / 乌玛...
1997/美国/剧情 科幻 惊悚",千钧一发,248,8.7
青春的窃窃私语。 ,285680人评价,"导演: 易智言 Chih-yen Yee主演: 陈柏霖 Bo-lin Chen / 桂纶镁 Lunmei Kwa...
2002/台湾 法国/剧情 爱情 同性",蓝色大门,249,8.3
